,test_BLEU,test_F1_macro,test_F1_micro,test_accuracy,test_dist_edit,test_fn_rate,test_fp_rate,test_loss,test_part_parsed,test_part_subj_ok,test_prec_macro,test_prec_micro,test_recall_macro,test_recall_micro,_runtime,model,fold,test_part_valid_r,test_part_valid_s
22,0.995150029659271,82.0303212761238,96.726188659668,0.968571424484253,NaN,0.0128571428358555,0.0185714289546013,0.0200100615620613,1,1,81.0781777499732,96.1538467407227,83.056407532614,97.3053894042969,777.590455770493,sample0_train_model_1_V2_bart-base,1,,
23,0.843866646289825,73.5657332761827,93.6096725463867,0.947142839431763,NaN,0.00714285718277097,0.0457142852246761,0.0186898373067379,1,1,69.6605218453044,89.4389419555664,81.5917107583774,98.1884078979492,259.243640899658,sample0_train_model_0_V2_bart-base,1,,
24,1,88.3930140228859,95.1310882568359,0.96248197555542,26,0.00432900432497263,0.0331890322268009,0.0197749771177769,0.990000009536743,0.990000009536743,89.8038846587278,91.6967544555664,90,98.8326873779297,803.563151359558,sample0_train_model_0_V2_bart-base,2,,
25,1,85.44474393531,99.8487167358398,0.998571455478668,NaN,0,0.00142857141327113,0.000319460581522435,1,1,85.1851851851852,99.6978836059571,85.7142857142857,100,241.103188276291,sample0_train_model_1_V2_bart-base,2,,
26,1,85.1831566057165,99.5433807373047,0.99571430683136,NaN,0.00142857141327113,0.00285714282654226,0.00328952190466225,1,1,85.142651148419,99.3920974731445,85.2380952380953,99.6951217651367,358.464375734329,sample0_train_model_1_V2_bart-base,3,,
27,1,97.1425713857475,98.9169692993164,0.991428554058075,NaN,0.00142857141327113,0.00714285718277097,0.00413518585264683,1,1,97.5802469135802,98.2078857421875,97.1428571428571,99.6363601684571,583.531766414642,sample0_train_model_0_V2_bart-base,3,,
28,1,99.3124131372979,99.5529098510742,0.99571430683136,NaN,0,0.00428571412339807,0.00138517399318516,1,1,98.6607142857143,99.1097946166992,100,100,498.261385440826,sample0_train_model_1_V2_bart-base,4,,
29,1,100,100,1,NaN,0,0,0.000113569862151053,1,1,100,100,100,100,311.446536779404,sample0_train_model_1_V2_bart-base,5,,
30,1,98.827437951925,99.2700729370117,0.994285702705383,NaN,0,0.00571428565308452,0.00345883169211447,1,1,97.7633477633478,98.5507278442383,100,100,285.182011127472,sample0_train_model_0_V2_bart-base,4,,
31,1,85.0357680144914,99.4633255004883,0.99571430683136,NaN,0,0.00428571412339807,0.000918620673473924,1,1,84.3817563767699,98.9323806762695,85.7142857142857,100,278.465612888336,sample0_train_model_0_V2_bart-base,5,,
